"","Site_ID","Round","Plant_gen_sp","Pollinator_gen_sp","Out","Pollinator_id","Pollinator_sex","Frequency"
"212","Niebla",4,"Lavandula pedunculata","Bombus terrestris","transect","no_captured","worker",11
"213","Niebla",4,"Lavandula pedunculata","Bombus terrestris","transect","BF208","worker",2
"214","Niebla",4,"Lavandula pedunculata","Andrena tenuistriata","transect","BF44","female",1
"215","Niebla",4,"Lavandula pedunculata","Eucera collaris","transect","BF549","female",3
"216","Niebla",4,"Lavandula pedunculata","Osmia bicornis","transect","BF634","male",4
"217","Bonares",4,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",69
"218","Bonares",4,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",26
"219","Bonares",4,"Cistus salvifolius","Eucera elongatula","transect","BF548","male",2
"220","Bonares",4,"Cistus salvifolius","Eristalis sp","transect","no_captured",NA,4
"221","Bonares",4,"Lavandula pedunculata","Eucera collaris","transect","BF556","female",2
"222","Bonares",4,"Lavandula pedunculata","Bombus terrestris","transect","no_captured","worker",10
"223","Bonares",4,"Lavandula pedunculata","Musca sp","transect","no_captured",NA,1
"224","Bonares",4,"Lavandula pedunculata","Bombus terrestris","transect","BF199","worker",1
"225","Esparragal",4,"Lavandula pedunculata","Apis mellifera","transect","no_captured",NA,24
"226","Esparragal",4,"Lavandula pedunculata","Pieris rapae","transect","no_captured",NA,6
"227","Aznalcazar",4,"Asphodelus fistulosus","Empis morpho1","transect","no_captured",NA,5
"228","Aznalcazar",4,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",15
"229","Aznalcazar",4,"Teucrium fruticans","Bombus terrestris","transect","BF217","worker",4
"230","Aznalcazar",4,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",35
"231","Aznalcazar",4,"Teucrium fruticans","Eucera sp","transect","no_captured","male",5
"232","Aznalcazar",4,"Teucrium fruticans","Bombus terrestris","transect","no_captured","queen",6
"233","Aznalcazar",4,"Teucrium fruticans","Bombus terrestris","transect","no_captured","queen",5
"234","Aznalcazar",4,"Teucrium fruticans","Eucera alternans","transect","BF542","male",6
"235","Aznalcazar",4,"Teucrium fruticans","Eucera sp","transect","no_captured","male",4
"236","Aznalcazar",4,"Lavandula stoechas","Xylocopa cantabrita","transect","no_captured","male",12
"237","Villamanriquesur",4,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",26
"238","Villamanriquesur",4,"Lavandula stoechas","Nomada sp","transect","PERDIDO",NA,5
"239","Villamanriquesur",4,"Lavandula stoechas","Empis sp","transect","no_captured",NA,2
"240","ConventodelaLuz",4,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",122
"241","ConventodelaLuz",4,"Cistus ladanifer","Oxythyrea funesta","out","BF522",NA,1
"242","ConventodelaLuz",4,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",21
"243","ConventodelaLuz",4,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",18
"244","ConventodelaLuz",4,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",6
"245","ConventodelaLuz",4,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",7
"246","ConventodelaLuz",4,"Spartium junceum","Apis mellifera","transect","no_captured","worker",5
"247","ConventodelaLuz",4,"Teucrium fruticans","Bombus terrestris","transect","BF201","worker",1
"248","ConventodelaLuz",4,"Teucrium fruticans","Anthophora retusa","transect","BF611","male",1
"249","ConventodelaLuz",4,"Cistus ladanifer","Eucera alternans","transect","BF543","female",3
"250","ConventodelaLuz",4,"Cistus ladanifer","Tropinota squalida","transect","BF521",NA,1
"251","Urbanizaciones",4,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",7
"252","Urbanizaciones",4,"Cistus salvifolius","Lasioglossum imminutus","transect","BF22","female",2
"253","Urbanizaciones",4,"Cistus salvifolius","Lasioglossum imminutus","transect","BF74","female",1
"254","Urbanizaciones",4,"Halimium commutatum","Apis mellifera","transect","no_captured","worker",14
"255","Urbanizaciones",4,"Calendula arvensis","Lasioglossum imminutus","transect","BF17","female",1
"256","Urbanizaciones",4,"Calendula arvensis","Andrena sp","transect","PERDIDO",NA,1
"257","Elpozo",4,"Erica scoparia","Apis mellifera","transect","no_captured","worker",4
"258","Elpozo",4,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",20
"259","Elpozo",4,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",4
"260","Elpozo",4,"Cistus salvifolius","Lasioglossum imminutus","out","BF31","female",2
"261","Elpozo",4,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",16
"262","Elpozo",4,"Cistus ladanifer","Rhyncomyia cuprea","out","no_captured",NA,1
"263","Elpozo",4,"Cistus ladanifer","Helophilus trivittatus","out","no_captured",NA,2
"264","Elpozo",4,"Cistus salvifolius","Lasioglossum bimaculatus","transect","BF30","female",1
"265","Elpozo",4,"Cistus ladanifer","Bombus terrestris","transect","BF204","worker",1
"266","Pinodelcuervo",4,"Cistus ladanifer","Merodon sp","transect","no_captured",NA,4
"267","Pinodelcuervo",4,"Cistus ladanifer","Andrena hispania","transect","no_captured",NA,1
"268","LaCunya",4,"Tuberaria guttata","Lasioglossum malachurum","transect","BF38","female",2
"269","LaCunya",4,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",3
"270","LaCunya",4,"Cistus salvifolius","Lasioglossum imminutus","transect","BF15","female",1
"271","LaCunya",4,"Cistus salvifolius","Empis morpho1","transect","no_captured",NA,1
"272","LaCunya",4,"Cistus salvifolius","Lasioglossum malachurum","transect","BF26","female",2
"273","PinaresdeHinojos",4,"Cistus salvifolius","Xylocopa cantabrita","transect","no_captured","male",5
"274","PinaresdeHinojos",4,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",4
"275","PinaresdeHinojos",4,"Spartium junceum","Apis mellifera","transect","no_captured","worker",13
"276","PinaresdeHinojos",4,"Cistus salvifolius","Colletes nigricans","transect","BF160","male",6
"277","PinaresdeHinojos",4,"Andryala integrifolia","Panurgus dargius","transect","BF262","male",4
"278","PinaresdeHinojos",4,"Cistus crispus","Andrena hispania","transect","BF311","female",3
"279","PinaresdeHinojos",4,"Cistus crispus","Andrena hispania","transect","BF326","female",1
"280","PinaresdeHinojos",4,"Cistus libanotis","Chrysura refulgens","transect","PERDIDO","male",2
"281","CotitodeSantaTeresa",4,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",17
"282","CotitodeSantaTeresa",4,"Lavandula stoechas","Andrena rhyssonota","transect","BF269","male",1
"283","CotitodeSantaTeresa",4,"Lavandula stoechas","Platynochaetus setosus","transect","BF410","male",4
"284","CotitodeSantaTeresa",4,"Lavandula stoechas","Xylocopa cantabrita","transect","no_captured","female",10
"285","LaRocina",4,"Diplotaxis virgata","Lasioglossum sp","transect","PERDIDO",NA,3
"286","LaRocina",4,"Rosmarinus officinalis","Sphecodes sp","transect","BF103","female",7
"287","LaRocina",4,"Lavandula pedunculata","Colletes sp","transect","no_captured",NA,2
"288","LaRocina",4,"Lavandula pedunculata","Lasioglossum sp","transect","no_captured",NA,4
"289","LaRocina",4,"Lavandula pedunculata","Merodon sp","transect","PERDIDO",NA,1
"290","LaRocina",4,"Lavandula pedunculata","Hoplitis tridentata","transect","BF639","female",2
"291","LaRocina",4,"Halimium commutatum","Xylocopa cantabrita","transect","no_captured","female",11
"292","LaRocina",4,"Lavandula pedunculata","Colletes sp","transect","PERDIDO",NA,3
"293","LaRocina",4,"Lavandula pedunculata","Nomada agrestis","transect","BF705","female",1
"294","Lasmulas",4,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",5
"295","Lasmulas",4,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",12
"296","Lasmulas",4,"Lavandula stoechas","Conopidae NA","transect","no_captured",NA,3
"297","Lasmulas",4,"Lavandula stoechas","Bombylius sp","transect","no_captured",NA,3
